mes_ano,evento,valor,tipo,source,type
2025-08,PG.CONS.PORTAO,1650.0,despesa,pdf,
2025-08,PG.MANUT.BOMBAS,6550.0,despesa,pdf,
2025-08,PG.MANUT.PORTAO,540.0,despesa,pdf,
2025-08,PG.MANUTENGAO,2160.0,despesa,pdf,
2025-08,PG.MAT.PINTURA,20.0,despesa,pdf,
2025-08,PG.PCMSO SECOVIMED,60.0,despesa,pdf,
2025-08,PG.REP.ELEVADOR,12980.0,despesa,pdf,
2025-08,PG.REP.ELETRICO,440.0,despesa,pdf,
2025-08,PG.REP.HIDRAULICO,8550.0,despesa,pdf,
2025-08,PG.SEGURO INCENDIO,60.0,despesa,pdf,
2025-08,PG.SERV.LIMP.,6270.0,despesa,pdf,
2025-08,PG.SERV.PORTARIA,6260.0,despesa,pdf,
2025-08,PG.SINDICO PROF.,1410.0,despesa,pdf,
2025-09,PG.DESCARTE DOCUM./,20190.0,despesa,pdf,
2025-09,PG.FECHADURA,260.0,despesa,pdf,
2025-09,PG.MANUT.ELEVADOR,20990.0,despesa,pdf,
2025-09,PG.MANUTENGAO,2180.0,despesa,pdf,
2025-09,PG.MAT.PINTURA,20.0,despesa,pdf,
2025-09,PG.REP.ELEVADOR,12980.0,despesa,pdf,
2025-09,PG.REP.GESSO,20.0,despesa,pdf,
2025-09,PG.SEGURO INCENDIO,60.0,despesa,pdf,
2025-09,PG.SERV.LIMP.,6450.0,despesa,pdf,
2025-09,PG.SERV.PORTARIA,6460.0,despesa,pdf,
2025-09,PG.SINDICO PROF.,1470.0,despesa,pdf,
2025-10,PG.INSTALAGAO,1660.0,despesa,pdf,
2025-10,PG.MANUT.ELEVADOR,23550.0,despesa,pdf,
2025-10,PG.MANUTENGAO,2380.0,despesa,pdf,
2025-10,PG.MAT.PINTURA,20.0,despesa,pdf,
2025-10,PG.REP.GESSO,20.0,despesa,pdf,
2025-10,PG.REPAROS,10.0,despesa,pdf,
2025-10,PG.SEGURO INCENDIO,60.0,despesa,pdf,
2025-10,PG.SERV.LIMP.,6490.0,despesa,pdf,
2025-10,PG.SERV.PORTARIA,6480.0,despesa,pdf,
2025-10,PG.SERV.PRESTADOS,10.0,despesa,pdf,
2025-10,PG.SINDICO PROF.,1530.0,despesa,pdf,
2025-11,PG.BOIA,9240.0,despesa,pdf,
2025-11,PG.MANUT.ELEVADOR,26250.0,despesa,pdf,
2025-11,PG.REPAROS,20.0,despesa,pdf,
2025-11,PG.SERV.LIMP.,6710.0,despesa,pdf,
2025-11,PG.SERV.PORTARIA,6700.0,despesa,pdf,
2025-11,PG.SERV.PRESTADOS,20.0,despesa,pdf,
2025-11,PG.SINDICO PROF.,1620.0,despesa,pdf,
2025-11,REEMB.MAT.EXPEDIENTE,13920.0,despesa,pdf,
2025-11,TAXA AUXILIAR ADMINISTRACAO,13920.0,despesa,pdf,
2025-12,PG.MANUT.ELEVADOR,2100.0,despesa,pdf,
2025-12,PG.REFORMA,9690.0,despesa,pdf,
2025-12,PG.REP.ELEVADOR,23840.0,despesa,pdf,
2025-12,PG.REP.ELETRICO,650.0,despesa,pdf,
2025-12,PG.REP.HIDRAULICO,40.0,despesa,pdf,
2025-12,PG.SERV.LIMP.,6900.0,despesa,pdf,
2025-12,PG.SERV.PORTARIA,6890.0,despesa,pdf,
2025-12,PG.SINDICO PROF.,1690.0,despesa,pdf,
2025-12,PG.TELEFONE,47480.0,despesa,pdf,
2025-12,REEMB.MAT.EXPEDIENTE,25640.0,despesa,pdf,
2025-12,TAXA AUXILIAR ADMINISTRACAO,25640.0,despesa,pdf,
2026-01,PG. MOVEIS,280.0,despesa,pdf,
2026-01,PG.LIMP.CX.D.AGUA,14060.0,despesa,pdf,
2026-01,PG.MANUT.BOMBAS,12140.0,despesa,pdf,
2026-01,PG.MANUT.ELEVADOR,4890.0,despesa,pdf,
2026-01,PG.MANUTENGAO,680.0,despesa,pdf,
2026-01,PG.MAT.LIMPEZA,4300.0,despesa,pdf,
2026-01,PG.MAT.PINTURA,23690.0,despesa,pdf,
2026-01,PG.PINTURA,100.0,despesa,pdf,
2026-01,PG.REP.HIDRAULICO,40.0,despesa,pdf,
2026-01,PG.REPAROS,20.0,despesa,pdf,
2026-01,PG.SERV.LIMP.,7140.0,despesa,pdf,
2026-01,PG.SERV.PORTARIA,7150.0,despesa,pdf,
2026-01,PG.SINDICO PROF.,1750.0,despesa,pdf,
2026-01,REEMB.MAT.EXPEDIENTE,37150.0,despesa,pdf,
2026-01,TAXA AUXILIAR ADMINISTRACAO,37150.0,despesa,pdf,
2026-02,PG.MANUT.ELEVADOR,7520.0,despesa,pdf,
2026-02,PG.MANUTENGAO,740.0,despesa,pdf,
2026-02,PG.REP.GESSO,130.0,despesa,pdf,
2026-02,PG.SERV.LIMP.,7170.0,despesa,pdf,
2026-02,PG.SERV.PORTARIA,7160.0,despesa,pdf,
2026-02,PG.SINDICO PROF.,1810.0,despesa,pdf,
2026-02,REEMB.MAT.EXPEDIENTE,49840.0,despesa,pdf,
2026-02,TAXA AUXILIAR ADMINISTRACAO,49840.0,despesa,pdf,
2026-03,PG.BALCAO,1060.0,despesa,pdf,
2026-03,PG.MANUT.ELEVADOR,10270.0,despesa,pdf,
2026-03,PG.MAT.PINTURA,19910.0,despesa,pdf,
2026-03,PG.SERV.LIMP.,7300.0,despesa,pdf,
2026-03,PG.SERV.PORTARIA,7290.0,despesa,pdf,
2026-03,PG.SINDICO PROF.,1900.0,despesa,pdf,
2026-04,PG.MANUT.ELEVADOR,13020.0,despesa,pdf,
2026-04,PG.MAT.LIMPEZA,20080.0,despesa,pdf,
2026-04,PG.REFORMA,860.0,despesa,pdf,
2026-04,PG.REP.BOMBAS,15330.0,despesa,pdf,
2026-04,PG.REP.GESSO,20.0,despesa,pdf,
2026-04,PG.REP.HIDRAULICO,200.0,despesa,pdf,
2026-04,PG.SERV.LIMP.,7430.0,despesa,pdf,
2026-04,PG.SERV.PORTARIA,7420.0,despesa,pdf,
2026-04,PG.SINDICO PROF.,1950.0,despesa,pdf,
2026-05,PG. SENSOR,20330.0,despesa,pdf,
2026-05,PG.MANUT.ELEVADOR,15750.0,despesa,pdf,
2026-05,PG.PINTURA,2500.0,despesa,pdf,
2026-05,PG.REP.BOMBAS,16230.0,despesa,pdf,
2026-05,PG.REP.GESSO,20.0,despesa,pdf,
2026-05,PG.REP.HIDRAULICO,40.0,despesa,pdf,
2026-05,PG.REPAROS,10190.0,despesa,pdf,
2026-05,PG.SEGURO INCENDIO,60.0,despesa,pdf,
2026-05,PG.SERV.LIMP.,7600.0,despesa,pdf,
2026-05,PG.SERV.PORTARIA,7590.0,despesa,pdf,
2026-06,PG.FECHADURA,16280.0,despesa,pdf,
2026-06,PG.INSTAL.CAMERAS,3380.0,despesa,pdf,
2026-06,PG.MANUT.ELEVADOR,18390.0,despesa,pdf,
2026-06,PG.MAT.LIMPEZA,27280.0,despesa,pdf,
2026-06,PG.MAT.PINTURA,20880.0,despesa,pdf,
2026-06,PG.PCMSO SECOVIMED,60.0,despesa,pdf,
2026-06,PG.SEGURO INCENDIO,60.0,despesa,pdf,
2026-06,PG.SERV.LIMP.,7720.0,despesa,pdf,
2026-06,PG.SERV.PORTARIA,7710.0,despesa,pdf,
2026-06,PG.SINDICO PROF.,2080.0,despesa,pdf,
2025-08,PG.TX.FIN.SD.DEV.07/2025,1552.0,,xls_fill,gap_fill
2025-08,REC.MULTA+C.M.+JRS.,11.04,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,269.05,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,316.1,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,320.8,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,452.71,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,471.08,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,324.94,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,326.14,,xls_fill,gap_fill
2025-08,REC.CONDOMÍNIO,414.27,,xls_fill,gap_fill
