mes_ano,valor,historico,source
2022-05,41248.84,REC.CONDOMÍNIO,xlsx
2022-05,1927.26,FUNDO RESERVA,xlsx
2022-05,190.0,REC.TAXA USO BOX,xlsx
2022-05,22.98,FUNDO OBRAS,xlsx
2022-05,108.19,REC. MULTA,xlsx
2022-05,23.31,REC.MULTA+C.M.+JRS.,xlsx
2022-05,4637.14,PG.SALÁRIO,xlsx
2022-05,268.34,PG.FGTS,xlsx
2022-05,600.0,PG.ADTO.SALÁRIO,xlsx
2022-05,411.0,PG.VALE REFEIÇÃO/ALIMENTAÇÃO,xlsx
2022-05,33.54,PG.PIS,xlsx
2022-05,1120.84,PG.DARF INSS(E-SOCIAL/REINF),xlsx
2022-05,144.45,PG.SECOVIMED,xlsx
2022-05,1443.6,PG.VALE TRANSPORTE,xlsx
2022-05,1750.0,PG.SÍNDICO PROF.,xlsx
2022-05,1096.2,TAXA AUXILIAR ADMINISTRACAO,xlsx
2022-05,109.62,REEMB.MAT.EXPEDIENTE,xlsx
2022-05,9.0,PG.FOLHA FUNC.BCO.,xlsx
2022-05,252.03,PG.SEG.VIDA FUNC.05/2022,xlsx
2022-05,204.7,PG.ASSEMB.EXTRA,xlsx
2022-05,6809.78,ÁGUA,xlsx
2022-05,914.6,PG.CEEE,xlsx
2022-05,1601.78,PG.INSTALAÇÃO,xlsx
2022-05,30.0,PG.EXTINTORES,xlsx
2022-05,857.64,PG.MANUT.ELEVADOR,xlsx
2022-05,2453.34,PEÇAS ELEVADOR,xlsx
2022-05,55.26,PG.,xlsx
2022-05,2284.43,PG.MATERIAIS,xlsx
2022-05,372.76,PG.MAT.LIMPEZA,xlsx
2022-05,212.0,PG.IMPRESSÕES/FOTOC.,xlsx
2022-05,10533.38,PG.ENCERRAMENTO,xlsx
2022-05,981.25,PG.SEGURO INCÊNDIO,xlsx
2022-05,468.43,PG.ISSQN,xlsx
2022-05,29.0,PG.DECLARAÇÃO PMPA/ISSQNDEC,xlsx
2022-05,35.0,PG.EMISSÃO DARF/IMPOSTOS,xlsx
2022-06,56.78,FUNDO RESERVA,xlsx
2022-06,47367.27,REC.CONDOMÍNIO,xlsx
2022-06,2999.4,FUNDO OBRAS,xlsx
2022-06,90.05,REC.CONDOMÍNIO,xlsx
2022-06,124.49,REC.,xlsx
2022-06,40.0,REC.COND.ESTACIONAMENTO,xlsx
2022-06,62.45,REC. MULTA,xlsx
2022-06,68.14,REC.MULTA+C.M.+JRS.,xlsx
2022-06,529.92,DIF.CONDOMÍNIO,xlsx
2022-06,10.0,REC.CONDOMÍNIO,xlsx
2022-06,16660.0,PG.SERV.PORTARIA,xlsx
2022-06,268.34,PG.FGTS,xlsx
2022-06,7570.0,PG.SERV.LIMP.,xlsx
2022-06,600.0,PG.ADTO.SALÁRIO,xlsx
2022-06,61.38,PG.PIS/COFINS/CSLL,xlsx
2022-06,33.54,PG.PIS,xlsx
2022-06,1788.34,PG.DARF INSS(E-SOCIAL/REINF),xlsx
2022-06,1750.0,PG.SÍNDICO PROF.,xlsx
2022-06,144.45,PG.SECOVIMED,xlsx
2022-06,1096.2,TAXA AUXILIAR ADMINISTRACAO,xlsx
2022-06,109.62,REEMB.MAT.EXPEDIENTE,xlsx
2022-06,1528.8,PG.VALE TRANSPORTE,xlsx
2022-06,252.03,PG.SEG.VIDA FUNC.06/2022,xlsx
2022-06,202.5,PG.VALE REFEIÇÃO/ALIMENTAÇÃO,xlsx
2022-06,9.0,PG.FOLHA FUNC.BCO.,xlsx
2022-06,2318.57,PG.SALÁRIO,xlsx
2022-06,6883.4,ÁGUA,xlsx
2022-06,933.34,PG.CEEE,xlsx
2022-06,1593.67,PEÇAS ELEVADOR,xlsx
2022-06,840.0,PG.MANUT.ELEVADOR,xlsx
2022-06,629.17,PG.BÓIA,xlsx
2022-06,140.0,PG.FECHADURA,xlsx
2022-06,728.16,PG.MAT.LIMPEZA,xlsx
2022-06,95.0,PG.RECARGA CELULAR,xlsx
2022-06,663.8,PG.ISSQN,xlsx
