evento,valor,tipo,mes_ano,macro_categoria
 Rec.condomínio ,41248.84,RECEITA,2022-05,Receitas Condominiais
 Água ,6809.78,DESPESA,2022-05,Outros
 Pg.ceee ,914.6,DESPESA,2022-05,Utilidades
 Pg.instalação ,1601.78,DESPESA,2022-05,Manutenção
 Pg.extintores ,30.0,DESPESA,2022-05,Outros
 Pg.manut.elevador ,857.64,DESPESA,2022-05,Manutenção
 Peças Elevador ,2453.34,DESPESA,2022-05,Manutenção
 Pg.assemb.extra ,204.7,DESPESA,2022-05,Outros
 Pg. ,55.26,DESPESA,2022-05,Outros
 Pg.impressões/Fotoc. ,212.0,DESPESA,2022-05,Administração
 Pg.encerramento ,10533.38,DESPESA,2022-05,Outros
 Pg.seguro Incêndio ,981.25,DESPESA,2022-05,Administração
 Pg.issqn ,468.43,DESPESA,2022-05,Taxas e Impostos
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-05,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-05,Pessoal
 Pg.mat.limpeza ,372.76,DESPESA,2022-05,Utilidades
 Pg.seg.vida Func.05/2022 ,252.03,DESPESA,2022-05,Pessoal
 Pg.materiais ,2284.43,DESPESA,2022-05,Outros
 Reemb.mat.expediente ,109.62,DESPESA,2022-05,Administração
 Pg.folha Func.bco. ,9.0,DESPESA,2022-05,Administração
 Fundo Reserva ,1927.26,RECEITA,2022-05,Fundos
 Rec.taxa Uso Box ,190.0,RECEITA,2022-05,Fundos
 Fundo Obras ,22.98,RECEITA,2022-05,Fundos
 Rec. Multa ,108.19,RECEITA,2022-05,Receitas Condominiais
 Pg.salário ,4637.14,DESPESA,2022-05,Pessoal
 Pg.fgts ,268.34,DESPESA,2022-05,Pessoal
 Rec.multa+C.m.+Jrs. ,23.31,RECEITA,2022-05,Receitas Condominiais
 Pg.vale Refeição/Alimentação ,411.0,DESPESA,2022-05,Pessoal
 Pg.pis ,33.54,DESPESA,2022-05,Pessoal
 Pg.darf Inss(E-Social/Reinf) ,1120.84,DESPESA,2022-05,Pessoal
 Pg.secovimed ,144.45,DESPESA,2022-05,Taxas e Impostos
 Pg.vale Transporte ,1443.6,DESPESA,2022-05,Pessoal
 Pg.síndico Prof. ,1750.0,DESPESA,2022-05,Pessoal
 Pg.adto.salário ,600.0,DESPESA,2022-05,Pessoal
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-05,Administração
 Pg.vale Refeição/Alimentação ,202.5,DESPESA,2022-06,Pessoal
 Pg.manut.elevador ,840.0,DESPESA,2022-06,Manutenção
 Peças Elevador ,1593.67,DESPESA,2022-06,Manutenção
 Pg.ceee ,933.34,DESPESA,2022-06,Utilidades
 Pg.folha Func.bco. ,9.0,DESPESA,2022-06,Administração
 Pg.salário ,2318.57,DESPESA,2022-06,Pessoal
 Pg.bóia ,629.17,DESPESA,2022-06,Manutenção
 Água ,6883.4,DESPESA,2022-06,Outros
 Pg.fechadura ,140.0,DESPESA,2022-06,Manutenção
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-06,Pessoal
 Pg.recarga Celular ,95.0,DESPESA,2022-06,Outros
 Pg.issqn ,663.8,DESPESA,2022-06,Taxas e Impostos
 Pg.transações Bco.ted/Doc ,18.9,DESPESA,2022-06,Taxas e Impostos
 Pg.correio Conv.assemb.c/Ar ,441.45,DESPESA,2022-06,Outros
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-06,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-06,Pessoal
 Pg.seguro Incêndio ,981.25,DESPESA,2022-06,Administração
 Pg.seg.vida Func.06/2022 ,252.03,DESPESA,2022-06,Pessoal
 Pg.mat.limpeza ,728.16,DESPESA,2022-06,Utilidades
 Pg.vale Transporte ,1528.8,DESPESA,2022-06,Pessoal
 Pg.impressões/Fotoc. ,51.0,DESPESA,2022-06,Administração
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-06,Administração
 Reemb.mat.expediente ,109.62,DESPESA,2022-06,Administração
 Fundo Reserva ,56.78,RECEITA,2022-06,Fundos
 Rec.condomínio ,47367.27,RECEITA,2022-06,Receitas Condominiais
 Fundo Obras ,2999.4,RECEITA,2022-06,Fundos
 Rec.condomínio ,90.05,RECEITA,2022-06,Receitas Condominiais
 Rec.cond.estacionamento ,40.0,RECEITA,2022-06,Receitas Condominiais
 Rec. Multa ,62.45,RECEITA,2022-06,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,68.14,RECEITA,2022-06,Receitas Condominiais
 Dif.condomínio ,529.92,DESPESA,2022-06,Outros
 Rec. ,124.49,RECEITA,2022-06,Outros
 Pg.serv.portaria ,16660.0,DESPESA,2022-06,Utilidades
 Pg.fgts ,268.34,DESPESA,2022-06,Pessoal
 Pg.serv.limp. ,7570.0,DESPESA,2022-06,Utilidades
 Pg.adto.salário ,600.0,DESPESA,2022-06,Pessoal
 Pg.pis/Cofins/Csll ,61.38,DESPESA,2022-06,Pessoal
 Pg.pis ,33.54,DESPESA,2022-06,Pessoal
 Pg.darf Inss(E-Social/Reinf) ,1788.34,DESPESA,2022-06,Pessoal
 Pg.síndico Prof. ,1750.0,DESPESA,2022-06,Pessoal
 Rec.condomínio ,10.0,DESPESA,2022-06,Receitas Condominiais
 Pg.secovimed ,144.45,DESPESA,2022-06,Taxas e Impostos
 Pg.rep.hidráulico ,4803.0,DESPESA,2022-07,Manutenção
 Pg.rep.bombas ,850.0,DESPESA,2022-07,Manutenção
 Pg.manut.elevador ,840.0,DESPESA,2022-07,Manutenção
 Pg.cons.fechadura ,45.0,DESPESA,2022-07,Outros
 Pg.assemb.ordin. ,204.7,DESPESA,2022-07,Outros
 Água ,8120.21,DESPESA,2022-07,Outros
 Pg.ceee ,4289.84,DESPESA,2022-07,Utilidades
 Pg.seg.vida Func.07/2022 ,252.03,DESPESA,2022-07,Pessoal
 Pg.materiais ,545.01,DESPESA,2022-07,Outros
 Peças Elevador ,2517.59,DESPESA,2022-07,Manutenção
 Pg.reparos ,600.0,DESPESA,2022-07,Manutenção
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-07,Pessoal
 Retirada P/Posterior Acerto ,800.0,DESPESA,2022-07,Retiradas/Acerto
 Pg. Abertura Porta ,80.0,DESPESA,2022-07,Outros
 Pg.issqn ,631.3,DESPESA,2022-07,Taxas e Impostos
 Pg.transações Bco.ted/Doc ,24.3,DESPESA,2022-07,Taxas e Impostos
 Pg.impressões/Fotoc. ,163.25,DESPESA,2022-07,Administração
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-07,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-07,Pessoal
 Pg. ,200.0,DESPESA,2022-07,Outros
 Pg.seguro Incêndio ,981.25,DESPESA,2022-07,Administração
 Pg.remessa Doctos. ,177.2,DESPESA,2022-07,Administração
 Pg.sacos Lixo ,571.99,DESPESA,2022-07,Outros
 Pg.salário ,3047.58,DESPESA,2022-07,Pessoal
 Pg.folha Func.bco. ,18.0,DESPESA,2022-07,Administração
 Reemb.mat.expediente ,109.62,DESPESA,2022-07,Administração
 Pg.vale Refeição/Alimentação ,202.5,DESPESA,2022-07,Pessoal
 Fundo Obras ,3187.96,RECEITA,2022-07,Fundos
 Rec.condomínio ,49234.78,RECEITA,2022-07,Receitas Condominiais
 Rec.alug.depósito ,100.0,RECEITA,2022-07,Fundos
 Dif.fdo.reserva ,90.15,RECEITA,2022-07,Outros
 Rec.cond.estacionamento ,600.0,RECEITA,2022-07,Receitas Condominiais
 Rec.taxa Uso Box ,590.0,RECEITA,2022-07,Fundos
 Rec.devolução Retirada ,800.0,RECEITA,2022-07,Receitas Condominiais
 Rec. Multa ,82.26,RECEITA,2022-07,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,83.02,RECEITA,2022-07,Receitas Condominiais
 Pg.serv.portaria ,16660.0,DESPESA,2022-07,Utilidades
 Fundo Reserva ,36.59,RECEITA,2022-07,Fundos
 Pg.adto.salário ,600.0,DESPESA,2022-07,Pessoal
 Pg.fgts ,268.34,DESPESA,2022-07,Pessoal
 Pg.férias Período ,2087.8,DESPESA,2022-07,Pessoal
 Pg.secovimed ,144.45,DESPESA,2022-07,Taxas e Impostos
 Pg.vale Transporte ,812.2,DESPESA,2022-07,Pessoal
 Pg.pis ,33.54,DESPESA,2022-07,Pessoal
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-07,Administração
 Pg.pis/Cofins/Csll ,535.2,DESPESA,2022-07,Pessoal
 Pg.síndico Prof. ,1750.0,DESPESA,2022-07,Pessoal
 Pg.serv.limp. ,3785.0,DESPESA,2022-07,Utilidades
 Pg.darf Inss(E-Social/Reinf) ,1645.54,DESPESA,2022-07,Pessoal
 Pg.sacos Lixo ,929.69,DESPESA,2022-08,Outros
 Pg.salário ,1254.57,DESPESA,2022-08,Pessoal
 Pg.folha Func.bco. ,18.0,DESPESA,2022-08,Administração
 Água ,7788.99,DESPESA,2022-08,Outros
 Pg.ceee ,1942.2,DESPESA,2022-08,Utilidades
 Pg.vistoria Hidráulica ,1176.0,DESPESA,2022-08,Outros
 Peças Elevador ,1975.67,DESPESA,2022-08,Manutenção
 Pg.manut.elevador ,840.0,DESPESA,2022-08,Manutenção
 Pg.pintura ,1470.0,DESPESA,2022-08,Manutenção
 Pg.materiais ,1875.0,DESPESA,2022-08,Outros
 Pg.issqn ,758.1,DESPESA,2022-08,Taxas e Impostos
 Pg.seg.vida Func.08/2022 ,252.03,DESPESA,2022-08,Pessoal
 Pg.correio Conv.assemb.c/Ar ,408.75,DESPESA,2022-08,Outros
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-08,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-08,Pessoal
 Retirada P/Posterior Acerto ,1750.0,DESPESA,2022-08,Retiradas/Acerto
 Pg.impressões/Fotoc. ,84.0,DESPESA,2022-08,Administração
 Pg.remessa Doctos. ,177.2,DESPESA,2022-08,Administração
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-08,Pessoal
 Pg.tarifa Banco Cobrança ,549.0,DESPESA,2022-08,Administração
 Pg.seguro Incêndio ,981.25,DESPESA,2022-08,Administração
 S/Déb. ,50057.09,DESPESA,2022-08,Outros
 Pg.transações Bco.ted/Doc ,40.5,DESPESA,2022-08,Taxas e Impostos
 Pg.serv.prestados ,2744.0,DESPESA,2022-08,Manutenção
 Pg.darf Inss(E-Social/Reinf) ,1768.73,DESPESA,2022-08,Pessoal
 Reemb.mat.expediente ,109.62,DESPESA,2022-08,Administração
 Pg.vale Refeição/Alimentação ,200.0,DESPESA,2022-08,Pessoal
 Rec.condomínio ,217605.41,RECEITA,2022-08,Receitas Condominiais
 Fundo Reserva ,266.42,RECEITA,2022-08,Fundos
 Rec.cond.estacionamento ,680.0,RECEITA,2022-08,Receitas Condominiais
 Rec.alug.depósito ,100.0,RECEITA,2022-08,Fundos
 Rec.taxa Uso Box ,390.0,RECEITA,2022-08,Fundos
 Rec.devolução Retirada ,1750.0,RECEITA,2022-08,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,177.17,RECEITA,2022-08,Receitas Condominiais
 Rec. Multa ,201.21,RECEITA,2022-08,Receitas Condominiais
 Rec.devolução ,2805.34,DESPESA,2022-08,Receitas Condominiais
 Pg.gratificação ,600.0,DESPESA,2022-08,Outros
 Fundo Obras ,4452.86,RECEITA,2022-08,Fundos
 Pg.fgts ,280.37,DESPESA,2022-08,Pessoal
 Pg.serv.portaria ,16660.0,DESPESA,2022-08,Utilidades
 Pg.síndico Prof. ,3500.0,DESPESA,2022-08,Pessoal
 Pg.dissídio Empregador/2022 ,120.0,DESPESA,2022-08,Pessoal
 Pg.adto.salário ,300.0,DESPESA,2022-08,Pessoal
 Pg.pis/Cofins/Csll ,283.18,DESPESA,2022-08,Pessoal
 Pg.pis ,35.05,DESPESA,2022-08,Pessoal
 Pg.secovimed ,182.45,DESPESA,2022-08,Taxas e Impostos
 Pg.vale Transporte ,1386.2,DESPESA,2022-08,Pessoal
 Pg.serv.limp. ,3785.0,DESPESA,2022-08,Utilidades
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-08,Administração
 Pg.reparos ,450.0,DESPESA,2022-09,Manutenção
 Pg.materiais ,3731.72,DESPESA,2022-09,Outros
 Pg.manutenção ,3900.0,DESPESA,2022-09,Manutenção
 Pg.ceee ,1752.6,DESPESA,2022-09,Utilidades
 Pg.manut.elevador ,705.6,DESPESA,2022-09,Manutenção
 Peças Elevador ,1226.65,DESPESA,2022-09,Manutenção
 Pg.impermeabilização ,20286.0,DESPESA,2022-09,Outros
 Água ,7906.78,DESPESA,2022-09,Outros
 Pg.equipamentos ,15570.0,DESPESA,2022-09,Outros
 Pg.mat.limpeza ,308.4,DESPESA,2022-09,Utilidades
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-09,Taxas e Impostos
 Pg.issqn ,413.3,DESPESA,2022-09,Taxas e Impostos
 Retirada P/Posterior Acerto ,1750.0,DESPESA,2022-09,Retiradas/Acerto
 Pg.transações Bco.ted/Doc ,35.1,DESPESA,2022-09,Taxas e Impostos
 Pg.desp.cartório ,35.64,DESPESA,2022-09,Outros
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-09,Pessoal
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-09,Pessoal
 Pg.tarifa Banco Cobrança ,549.0,DESPESA,2022-09,Administração
 Pg.seguro Incêndio ,981.25,DESPESA,2022-09,Administração
 Adto.13º Salário ,933.75,DESPESA,2022-09,Outros
 Pg.remessa Doctos. ,177.2,DESPESA,2022-09,Administração
 Pg.reg.imóveis ,85.8,DESPESA,2022-09,Outros
 Pg.folha Func.bco. ,18.0,DESPESA,2022-09,Administração
 Valor ,114.49,DESPESA,2022-09,Outros
 Pg.seg.vida Func.09/2022 ,252.03,DESPESA,2022-09,Pessoal
 Pg.salário ,2580.46,DESPESA,2022-09,Pessoal
 Rec.condomínio ,55895.34,RECEITA,2022-09,Receitas Condominiais
 Rec.alug.depósito ,80.0,RECEITA,2022-09,Fundos
 Rec.cond.estacionamento ,720.0,RECEITA,2022-09,Receitas Condominiais
 Rec.taxa Uso Box ,390.0,RECEITA,2022-09,Fundos
 Rec.devolução Retirada ,1750.0,RECEITA,2022-09,Receitas Condominiais
 Rec. Multa ,101.09,RECEITA,2022-09,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,62.05,RECEITA,2022-09,Receitas Condominiais
 Pg.fgts ,326.19,DESPESA,2022-09,Pessoal
 Pg.serv.limp. ,4606.0,DESPESA,2022-09,Utilidades
 Pg.serv.portaria ,16660.0,DESPESA,2022-09,Utilidades
 Fundo Obras ,3578.67,RECEITA,2022-09,Fundos
 Pg.pis/Cofins/Csll ,283.18,DESPESA,2022-09,Pessoal
 Pg.darf Inss(E-Social/Reinf) ,1987.42,DESPESA,2022-09,Pessoal
 Pg.pis ,40.77,DESPESA,2022-09,Pessoal
 Pg. Irrf ,14.9,DESPESA,2022-09,Outros
 Pg.síndico Prof. ,1750.0,DESPESA,2022-09,Pessoal
 Pg.secovimed ,152.05,DESPESA,2022-09,Taxas e Impostos
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-09,Administração
 Reemb.mat.expediente ,109.62,DESPESA,2022-09,Administração
 Pg.vale Transporte ,1443.6,DESPESA,2022-09,Pessoal
 Pg.vale Refeição/Alimentação ,200.0,DESPESA,2022-09,Pessoal
 Pg.adto.salário ,600.0,DESPESA,2022-09,Pessoal
 Pg.materiais ,2497.28,DESPESA,2022-10,Outros
