mes_ano,tipo,evento,valor,origem
2023-09,despesa,PG. INTERNET - CLARO 08/,2023.0,pdf_ocr
2023-09,despesa,PG.CONS.FECHADURA - PONTO DO CHAVEIRO NF,216.0,pdf_ocr
2023-09,despesa,PG.DARF INSS(E-SOCIAL/REINF) - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.EXTINTORES - /PLACAS-PREVALE NF.3928 P.1/,2.0,pdf_ocr
2023-09,despesa,PG.FGTS - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.FOLHA FUNC.BCO. - 09/,2023.0,pdf_ocr
2023-09,despesa,PG.ISSQN - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.MANUT.ELEVADOR - PRIME LTDA.08/2023 NF,1926.0,pdf_ocr
2023-09,despesa,PG.MAT.PINTURA - FERRAGENS NGP NF,1017.0,pdf_ocr
2023-09,despesa,PG.MATERIAL - ELETRICO-GOLLO NF,48.0,pdf_ocr
2023-09,despesa,PG.PINTURA - /REPAROS-MISSAO DE PAZ NF,348.0,pdf_ocr
2023-09,despesa,PG.PIS - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.PIS/COFINS/CSLL - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.SECOVIMED - 08/,2023.0,pdf_ocr
2023-09,despesa,PG.SEG.VIDA FUNC.09/,2023.0,pdf_ocr
2023-09,despesa,PG.SEGURO INCENDIO - SOMPO SEGURADORA P.5/,6.0,pdf_ocr
2023-09,despesa,PG.SERV.LIMP. - MISSAO DE PAZ 08/2023 NF,339.0,pdf_ocr
2023-09,despesa,PG.SERV.PORTARIA - F.CORREA 08/2023 NF,338.0,pdf_ocr
2023-09,despesa,PG.SINDICO PROF. - SINDICO FK SOLUGOES 09/2023 NF,114.0,pdf_ocr
2023-09,despesa,PG.TARIFA BANCO COBRANGA - 09/,2023.0,pdf_ocr
2023-09,despesa,PG.TRANSAGOES BCO.TED/DOC - 08/,2023.0,pdf_ocr
2023-09,despesa,PG. TREINAMENTO - TPCI-PREVALE NF.3925 P.1/,2.0,pdf_ocr
2023-09,despesa,PG.TX.FIN.SD.DEV.08/,2023.0,pdf_ocr
2023-09,despesa,PG.VALE REFEIGAO/ALIMENTAGAO - TICKET 10/,2023.0,pdf_ocr
2023-09,despesa,REEMB.MAT.EXPEDIENTE - 09/2023 NF.:,10647.0,pdf_ocr
2023-09,despesa,TAXA AUXILIAR ADMINISTRACAO - 09/2023 NF.:,10647.0,pdf_ocr
2023-10,despesa,PG. INTERNET - CLARO 09/,2023.0,pdf_ocr
2023-10,despesa,PG.DARF INSS(E-SOCIAL/REINF) - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.EXTINTORES - /PLACAS-PREVALE NF.3928 P.2/,2.0,pdf_ocr
2023-10,despesa,PG.FGTS - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.FOLHA FUNC.BCO. - 10/,2023.0,pdf_ocr
2023-10,despesa,PG.FOTOCOPIAS - COPYARTE NF,84.0,pdf_ocr
2023-10,despesa,PG.INSTALAGAO - BALCAO-GEANPIERRE DOMBROWSKI NF,1.0,pdf_ocr
2023-10,despesa,PG.ISSQN - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.PIS - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.PIS/COFINS/CSLL - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.SACOS LIXO - /MAT.LIMP.-D TUDO MAIS NF,5579.0,pdf_ocr
2023-10,despesa,PG.SECOVIMED - 09/,2023.0,pdf_ocr
2023-10,despesa,PG.SEG.VIDA FUNC.10/,2023.0,pdf_ocr
2023-10,despesa,PG.SEGURO INCENDIO - SOMPO SEGURADORA P.6/,6.0,pdf_ocr
