mes_ano,tipo,evento,valor,origem
2023-09,despesa,PG.CONS.FECHADURA - PONTO DO CHAVEIRO NF,2160.0,pdf_ocr
2023-09,despesa,PG.EXTINTORES - /PLACAS-PREVALE NF.3928 P.1/,20.0,pdf_ocr
2023-09,despesa,PG.MANUT.ELEVADOR - PRIME LTDA.08/2023 NF,19260.0,pdf_ocr
2023-09,despesa,PG.MAT.PINTURA - FERRAGENS NGP NF,10170.0,pdf_ocr
2023-09,despesa,PG.MATERIAL - ELETRICO-GOLLO NF,480.0,pdf_ocr
2023-09,despesa,PG.PINTURA - /REPAROS-MISSAO DE PAZ NF,3480.0,pdf_ocr
2023-09,despesa,PG.SEGURO INCENDIO - SOMPO SEGURADORA P.5/,60.0,pdf_ocr
2023-09,despesa,PG.SERV.LIMP. - MISSAO DE PAZ 08/2023 NF,3390.0,pdf_ocr
2023-09,despesa,PG.SERV.PORTARIA - F.CORREA 08/2023 NF,3380.0,pdf_ocr
2023-09,despesa,PG.SINDICO PROF. - SINDICO FK SOLUGOES 09/2023 NF,1140.0,pdf_ocr
2023-09,despesa,PG. TREINAMENTO - TPCI-PREVALE NF.3925 P.1/,20.0,pdf_ocr
2023-10,despesa,PG.EXTINTORES - /PLACAS-PREVALE NF.3928 P.2/,20.0,pdf_ocr
2023-10,despesa,PG.FOTOCOPIAS - COPYARTE NF,840.0,pdf_ocr
2023-10,despesa,PG.INSTALAGAO - BALCAO-GEANPIERRE DOMBROWSKI NF,10.0,pdf_ocr
2023-10,despesa,PG.SEGURO INCENDIO - SOMPO SEGURADORA P.6/,60.0,pdf_ocr
2023-10,despesa,PG.SERV.LIMP. - MISSAO DE PAZ 09/2023 NF,3540.0,pdf_ocr
2023-10,despesa,PG.SERV.PORTARIA - F.CORREA 09/2023 NF,3530.0,pdf_ocr
2023-10,despesa,PG.SINDICO PROF. - SINDICO FK SOLUGOES 10/2023 NF,30.0,pdf_ocr
2023-10,despesa,PG. TREINAMENTO - TPCI-PREVALE NF.3925 P.2/,20.0,pdf_ocr
2023-11,despesa,PG.COLUNA AGUA - MAURO FLORES NF,30.0,pdf_ocr
2023-11,despesa,PG.CONS.FECHADURA - PONTO DO CHAVEIRO NF,2590.0,pdf_ocr
2023-11,despesa,PG.CONS.P.ELETR. - LISANGELA FRAGA NF,1210.0,pdf_ocr
2023-11,despesa,PG.CONS.PORTAO - MGA COMERCIO NF,4220.0,pdf_ocr
2023-11,despesa,PG.MATERIAIS - GOLLO NF,680.0,pdf_ocr
2023-11,despesa,PG.PINTURA - MISSAO DE PAZ NF,3710.0,pdf_ocr
2023-11,despesa,PG.REPAROS - EQUIP.SEGURANGA-GOLLO NF,1510.0,pdf_ocr
2023-11,despesa,PG.SERV.LIMP. - MISSAO DE PAZ 10/2023 NF,3630.0,pdf_ocr
2023-11,despesa,PG.SERV.PORTARIA - F.CORREA 10/2023 NF,3620.0,pdf_ocr
2023-11,despesa,PG.SINDICO PROF. - SINDICO FK SOLUGOES 11/2023 NF,90.0,pdf_ocr
2023-12,despesa,PG.MATERIAL - FERRAGENS NGP NF,11550.0,pdf_ocr
2023-12,despesa,PG.PINTURA - MISSAO DE PAZ NF,3760.0,pdf_ocr
2023-12,despesa,PG.SERV.LIMP. - MISSAO DE PAZ 11/2023 NF,3750.0,pdf_ocr
2023-12,despesa,PG.SERV.PORTARIA - F.CORREA 11/2023 NF,3740.0,pdf_ocr
2023-12,despesa,PG.SINDICO PROF. - SINDICO FK SOLUGOES 12/2023 NF,160.0,pdf_ocr
