evento,valor,tipo,mes_ano,macro_categoria,motivo_anomalia
 Água ,6809.78,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Pg.extintores ,30.0,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Pg.assemb.extra ,204.7,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Pg. ,55.26,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Pg.encerramento ,10533.38,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Pg.materiais ,2284.43,DESPESA,2022-05,Outros,Evento sem categoria mapeada
 Água ,6883.4,DESPESA,2022-06,Outros,Evento sem categoria mapeada
 Pg.recarga Celular ,95.0,DESPESA,2022-06,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,441.45,DESPESA,2022-06,Outros,Evento sem categoria mapeada
 Dif.condomínio ,529.92,DESPESA,2022-06,Outros,Evento sem categoria mapeada
 Rec. ,124.49,RECEITA,2022-06,Outros,Evento sem categoria mapeada
 Pg.cons.fechadura ,45.0,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Pg.assemb.ordin. ,204.7,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Água ,8120.21,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Pg.materiais ,545.01,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Pg. Abertura Porta ,80.0,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Pg. ,200.0,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Pg.sacos Lixo ,571.99,DESPESA,2022-07,Outros,Evento sem categoria mapeada
 Dif.fdo.reserva ,90.15,RECEITA,2022-07,Outros,Evento sem categoria mapeada
 Pg.sacos Lixo ,929.69,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Água ,7788.99,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Pg.vistoria Hidráulica ,1176.0,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Pg.materiais ,1875.0,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,408.75,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 S/Déb. ,50057.09,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Pg.gratificação ,600.0,DESPESA,2022-08,Outros,Evento sem categoria mapeada
 Pg.materiais ,3731.72,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,20286.0,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Água ,7906.78,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg.equipamentos ,15570.0,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg.desp.cartório ,35.64,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Adto.13º Salário ,933.75,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg.reg.imóveis ,85.8,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Valor ,114.49,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg. Irrf ,14.9,DESPESA,2022-09,Outros,Evento sem categoria mapeada
 Pg.materiais ,2497.28,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Água ,7980.4,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Pg.equipamentos ,15503.0,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Pg.recarga Celular ,50.0,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Pg.custas Judiciais ,252.9,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Pg.fotocópias ,113.78,DESPESA,2022-10,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,37253.03,DESPESA,2022-11,Outros,Evento sem categoria mapeada
 Água ,8492.27,DESPESA,2022-11,Outros,Evento sem categoria mapeada
 Pg.equipamentos ,15503.0,DESPESA,2022-11,Outros,Evento sem categoria mapeada
 Pg.coluna Água ,2600.0,DESPESA,2022-11,Outros,Evento sem categoria mapeada
 Pg.materiais ,697.85,DESPESA,2022-11,Outros,Evento sem categoria mapeada
 Pg.desentupidora ,3498.06,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.materiais ,1418.72,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.desinsetização ,1287.99,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Água ,10334.16,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.equipamentos ,15504.0,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,3264.48,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.recarga Celular ,50.0,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg.locação ,300.0,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Pg. ,46.0,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Valor ,1905.83,DESPESA,2022-12,Outros,Evento sem categoria mapeada
 Valor ,1905.83,RECEITA,2022-12,Outros,Evento sem categoria mapeada
 Pg.materiais ,1689.0,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Pg.assemb.ordin. ,204.7,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Água ,10750.86,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Pg.desentupidora ,3498.06,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Pg.impermeabilização ,3264.48,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Valor ,13300.0,DESPESA,2023-01,Outros,Evento sem categoria mapeada
 Valor ,13300.0,RECEITA,2023-01,Outros,Evento sem categoria mapeada
 Pg.materiais ,336.5,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.escada ,2187.5,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.desp.cartório ,167.42,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg. ,605.5,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,376.05,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.taxa ,115.18,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.ltip ,1470.0,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Água ,9859.05,DESPESA,2023-02,Outros,Evento sem categoria mapeada
 Pg.escada ,437.5,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.assemb.ordin. ,204.7,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.vistoria Hidráulica ,1393.72,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.materiais ,499.3,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.correio Conv.assemb.c/Ar ,394.45,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.certificação Digital ,351.0,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Valor ,892.81,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.custas Judiciais ,148.71,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Valor ,892.81,RECEITA,2023-03,Outros,Evento sem categoria mapeada
 Pg. Irrf ,30.31,DESPESA,2023-03,Outros,Evento sem categoria mapeada
 Pg.escada ,437.5,DESPESA,2023-04,Outros,Evento sem categoria mapeada
