unidade,qtd_ocorrencias,total_multas,multa_media,primeiro_mes,ultimo_mes,meses_distintos,recorrente
AP 0508 BL B,11,212.58,19.33,2026-01,2026-05,4,True
AP 1103 BL B,11,89.12,8.1,2025-08,2026-06,11,True
AP 1002 BL A,10,376.32,37.63,2026-04,2026-04,1,True
AP 0704 BL A,10,191.0,19.1,2025-08,2026-06,10,True
AP 0806 BL B,10,103.25,10.32,2025-09,2026-06,6,True
AP 0211 BL B,10,71.94,7.19,2025-08,2026-06,9,True
AP 0704 BL B,10,69.83,6.98,2025-08,2026-05,10,True
AP 0405 BL A,9,223.09,24.79,2025-08,2026-05,4,True
AP 0205 BL B,9,93.54,10.39,2025-11,2026-05,6,True
AP 0805 BL B,9,87.47,9.72,2025-08,2026-05,5,True
AP 0303 BL B,8,304.04,38.0,2026-03,2026-03,1,True
AP 1008 BL B,8,70.87,8.86,2025-08,2026-06,6,True
AP 0807 BL B,8,53.44,6.68,2025-08,2026-06,7,True
AP 0605 BL A,7,62.91,8.99,2025-09,2026-03,7,True
AP 0707 BL B,7,41.41,5.92,2025-09,2026-05,5,True
AP 1106 BL A,6,198.22,33.04,2025-09,2026-06,6,True
AP 0909 BL B,6,35.81,5.97,2025-09,2026-05,6,True
AP 0608 BL B,5,58.19,11.64,2025-08,2026-06,4,True
AP 1001 BL B,5,33.94,6.79,2025-12,2026-04,4,True
AP 0308 BL B,5,33.91,6.78,2025-09,2026-05,4,True
AP 0606 BL B,4,37.41,9.35,2025-08,2026-03,4,True
AP 0201 BL B,4,36.85,9.21,2025-09,2025-12,3,True
AP 0209 BL B,4,30.04,7.51,2025-09,2025-12,4,True
AP 0305 BL B,4,27.59,6.9,2025-12,2026-05,3,True
AP 1004 BL A,3,56.27,18.76,2025-09,2026-06,3,True
AP 0901 BL B,3,18.67,6.22,2025-10,2025-12,2,True
AP 0808 BL B,3,16.89,5.63,2025-10,2026-05,3,True
AP 1101 BL B,2,15.62,7.81,2025-11,2025-11,1,True
AP 1108 BL B,2,14.9,7.45,2026-01,2026-06,2,True
