mes_ano,data,subconta,historico,complemento,debito,credito,saldo,saldo_anterior,macro_categoria
2025-08,2025-08-01,CONTA NORMAL,PG.TX.FIN.SD.DEV.07/2025,,-1552.0,,-64023.24,-62471.24,Taxas e Impostos
2025-08,2025-08-01,CONTA NORMAL,REC.MULTA+C.M.+JRS.,05/25 [AP:684F BL B],,11.04,-64012.2,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,REC.CONDOMÍNIO,05/25 [AP:684F BL B],,269.05,-63743.15,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:E8D6 BL B],,316.1,-63427.05,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:2764 BL B],,320.8,-63106.25,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:88E9 BL A],,452.71,-62653.54,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:98C1 BL A],,471.08,-62182.46,-62471.24,Receitas Condominiais
2025-08,2025-08-01,CONTA NORMAL,PG.SÍNDICO PROF.,SINDICO EMPRESA_SINDICO 07/2025 NF.0141,-3871.0,,-66053.46,-62471.24,Pessoal
2025-08,2025-08-04,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:ED8B BL B],,324.94,-65728.52,-62471.24,Receitas Condominiais
2025-08,2025-08-04,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:A7B7 BL B],,326.14,-65402.38,-62471.24,Receitas Condominiais
2025-08,2025-08-04,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:BA6D BL B],,414.27,-64988.11,-62471.24,Receitas Condominiais
2025-08,2025-08-04,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:06AD BL A],,862.02,-64126.09,-62471.24,Receitas Condominiais
2025-08,2025-08-04,CONTA NORMAL,PG.MANUT.BOMBAS,EMPRESA_BOMBAS NF.0655,-1193.1,,-65319.19,-62471.24,Manutenção
2025-08,2025-08-05,CONTA NORMAL,REC. MULTA,07/25 [AP:CB30 BL B],,6.44,-65312.75,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,07/25 [AP:CB30 BL B],,293.01,-65019.74,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC. MULTA,07/25 [AP:6C58 BL B],,6.5,-65013.24,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,07/25 [AP:6C58 BL B],,293.01,-64720.23,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:C6E3 BL B],,478.75,-64241.48,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:B9E9 BL B],,414.27,-63827.21,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:7168 BL A],,471.08,-63356.13,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:CA85 BL B],,322.56,-63033.57,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:6C58 BL B],,322.56,-62711.01,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:DCB8 BL B],,414.27,-62296.74,-62471.24,Receitas Condominiais
2025-08,2025-08-05,CONTA NORMAL,REC.CONDOMÍNIO,08/25 [AP:E688 BL A],,445.63,-61851.11,-62471.24,Receitas Condominiais
