evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Outros Eventos,43389.08,RECEITA,2022-05,XLSX,,,
Rec.condomínio,41248.84,RECEITA,2022-05,XLSX,,,
Fundo Reserva,1927.26,RECEITA,2022-05,XLSX,,,
Rec.taxa Uso Box,190.0,RECEITA,2022-05,XLSX,,,
Fundo Obras,22.98,RECEITA,2022-05,XLSX,,,
Rec. Multa,108.19,RECEITA,2022-05,XLSX,,,
Rec.multa+C.m.+Jrs.,23.31,RECEITA,2022-05,XLSX,,,
Subtotal,43520.58,RECEITA,2022-05,XLSX,,,
Pg.salário,4637.14,DESPESA,2022-05,XLSX,,,
Pg.fgts,268.34,DESPESA,2022-05,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-05,XLSX,,,
Pg.vale Refeição/Alimentação,411.0,DESPESA,2022-05,XLSX,,,
Pg.pis,33.54,DESPESA,2022-05,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1120.84,DESPESA,2022-05,XLSX,,,
Pg.secovimed,144.45,DESPESA,2022-05,XLSX,,,
Pg.vale Transporte,1443.6,DESPESA,2022-05,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-05,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-05,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-05,XLSX,,,
Pg.folha Func.bco.,9.0,DESPESA,2022-05,XLSX,,,
Pg.seg.vida Func.05/2022,252.03,DESPESA,2022-05,XLSX,,,
Pg.assemb.extra,204.7,DESPESA,2022-05,XLSX,,,
Água,6809.78,DESPESA,2022-05,XLSX,,,
Pg.ceee,914.6,DESPESA,2022-05,XLSX,,,
Pg.instalação,1601.78,DESPESA,2022-05,XLSX,,,
Pg.extintores,30.0,DESPESA,2022-05,XLSX,,,
Pg.manut.elevador,857.64,DESPESA,2022-05,XLSX,,,
Peças Elevador,2453.34,DESPESA,2022-05,XLSX,,,
Pg.,55.26,DESPESA,2022-05,XLSX,,,
Pg.materiais,2284.43,DESPESA,2022-05,XLSX,,,
Pg.mat.limpeza,372.76,DESPESA,2022-05,XLSX,,,
Pg.impressões/Fotoc.,212.0,DESPESA,2022-05,XLSX,,,
Pg.encerramento,10533.38,DESPESA,2022-05,XLSX,,,
Pg.seguro Incêndio,981.25,DESPESA,2022-05,XLSX,,,
Pg.issqn,468.43,DESPESA,2022-05,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-05,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-05,XLSX,,,
Subtotal,39719.11,DESPESA,2022-05,XLSX,,,
Outros Eventos,50677.99,RECEITA,2022-06,XLSX,,,
Fundo Reserva,56.78,RECEITA,2022-06,XLSX,,,
Rec.condomínio,47367.27,RECEITA,2022-06,XLSX,,,
Fundo Obras,2999.4,RECEITA,2022-06,XLSX,,,
Rec.condomínio,90.05,RECEITA,2022-06,XLSX,,,
Rec.,124.49,RECEITA,2022-06,XLSX,,,
Rec.cond.estacionamento,40.0,RECEITA,2022-06,XLSX,,,
Rec. Multa,62.45,RECEITA,2022-06,XLSX,,,
Rec.multa+C.m.+Jrs.,68.14,RECEITA,2022-06,XLSX,,,
Subtotal,50808.58,RECEITA,2022-06,XLSX,,,
Outros Eventos,539.92,DESPESA,2022-06,XLSX,,,
Dif.condomínio,529.92,DESPESA,2022-06,XLSX,,,
Rec.condomínio,10.0,DESPESA,2022-06,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-06,XLSX,,,
Pg.fgts,268.34,DESPESA,2022-06,XLSX,,,
Pg.serv.limp.,7570.0,DESPESA,2022-06,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-06,XLSX,,,
Pg.pis/Cofins/Csll,61.38,DESPESA,2022-06,XLSX,,,
Pg.pis,33.54,DESPESA,2022-06,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1788.34,DESPESA,2022-06,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-06,XLSX,,,
Pg.secovimed,144.45,DESPESA,2022-06,XLSX,,,
