evento,valor,tipo,mes_ano,macro_categoria
REC.CONDOMÍNIO,41248.84,RECEITA,2022-05,Receitas Condominiais
FUNDO RESERVA,1927.26,RECEITA,2022-05,Fundos
REC.TAXA USO BOX,190.0,RECEITA,2022-05,Fundos
FUNDO OBRAS,22.98,RECEITA,2022-05,Fundos
REC. MULTA,108.19,RECEITA,2022-05,Receitas Condominiais
PG.SALÁRIO,4637.14,DESPESA,2022-05,Pessoal
PG.FGTS,268.34,DESPESA,2022-05,Pessoal
PG.FOLHA FUNC.BCO.,9.0,DESPESA,2022-05,Administração
REC.MULTA+C.M.+JRS.,23.31,RECEITA,2022-05,Receitas Condominiais
PG.DARF INSS(E-SOCIAL/REINF),1120.84,DESPESA,2022-05,Pessoal
PG.SECOVIMED,144.45,DESPESA,2022-05,Taxas e Impostos
PG.VALE TRANSPORTE,1443.6,DESPESA,2022-05,Pessoal
PG.SÍNDICO PROF.,1750.0,DESPESA,2022-05,Pessoal
PG.ADTO.SALÁRIO,600.0,DESPESA,2022-05,Pessoal
TAXA AUXILIAR ADMINISTRACAO,1096.2,DESPESA,2022-05,Administração
PG.PIS,33.54,DESPESA,2022-05,Pessoal
REEMB.MAT.EXPEDIENTE,109.62,DESPESA,2022-05,Administração
PG.VALE REFEIÇÃO/ALIMENTAÇÃO,411.0,DESPESA,2022-05,Pessoal
PG.SEG.VIDA FUNC.05/2022,252.03,DESPESA,2022-05,Pessoal
PG.MATERIAIS,2284.43,DESPESA,2022-05,Outros
ÁGUA,6809.78,DESPESA,2022-05,Outros
PG.CEEE,914.6,DESPESA,2022-05,Utilidades
PG.INSTALAÇÃO,1601.78,DESPESA,2022-05,Manutenção
PG.EXTINTORES,30.0,DESPESA,2022-05,Outros
PEÇAS ELEVADOR,2453.34,DESPESA,2022-05,Manutenção
PG.ASSEMB.EXTRA,204.7,DESPESA,2022-05,Outros
PG.MANUT.ELEVADOR,857.64,DESPESA,2022-05,Manutenção
PG.IMPRESSÕES/FOTOC.,212.0,DESPESA,2022-05,Administração
PG.ENCERRAMENTO,10533.38,DESPESA,2022-05,Outros
PG.SEGURO INCÊNDIO,981.25,DESPESA,2022-05,Administração
PG.ISSQN,468.43,DESPESA,2022-05,Taxas e Impostos
PG.DECLARAÇÃO PMPA/ISSQNDEC,29.0,DESPESA,2022-05,Taxas e Impostos
PG.EMISSÃO DARF/IMPOSTOS,35.0,DESPESA,2022-05,Pessoal
PG.,55.26,DESPESA,2022-05,Outros
PG.MAT.LIMPEZA,372.76,DESPESA,2022-05,Utilidades
REEMB.MAT.EXPEDIENTE,109.62,DESPESA,2022-06,Administração
REC. MULTA,62.45,RECEITA,2022-06,Receitas Condominiais
REC.COND.ESTACIONAMENTO,40.0,RECEITA,2022-06,Receitas Condominiais
REC.CONDOMÍNIO,90.05,RECEITA,2022-06,Receitas Condominiais
FUNDO RESERVA,56.78,RECEITA,2022-06,Fundos
REC.CONDOMÍNIO,47367.27,RECEITA,2022-06,Receitas Condominiais
REC.MULTA+C.M.+JRS.,68.14,RECEITA,2022-06,Receitas Condominiais
FUNDO OBRAS,2999.4,RECEITA,2022-06,Fundos
DIF.CONDOMÍNIO,529.92,DESPESA,2022-06,Outros
REC.CONDOMÍNIO,10.0,DESPESA,2022-06,Receitas Condominiais
PG.SERV.PORTARIA,16660.0,DESPESA,2022-06,Utilidades
PG.FGTS,268.34,DESPESA,2022-06,Pessoal
PG.SERV.LIMP.,7570.0,DESPESA,2022-06,Utilidades
PG.ADTO.SALÁRIO,600.0,DESPESA,2022-06,Pessoal
PG.PIS/COFINS/CSLL,61.38,DESPESA,2022-06,Pessoal
PG.DARF INSS(E-SOCIAL/REINF),1788.34,DESPESA,2022-06,Pessoal
PG.SECOVIMED,144.45,DESPESA,2022-06,Taxas e Impostos
TAXA AUXILIAR ADMINISTRACAO,1096.2,DESPESA,2022-06,Administração
REC.,124.49,RECEITA,2022-06,Outros
PG.PIS,33.54,DESPESA,2022-06,Pessoal
PG.SÍNDICO PROF.,1750.0,DESPESA,2022-06,Pessoal
PG.MAT.LIMPEZA,728.16,DESPESA,2022-06,Utilidades
PG.VALE TRANSPORTE,1528.8,DESPESA,2022-06,Pessoal
